erate (mm/kyr),measured curvature (1/m),naive D (m2/kyr),minimum D (m2/kyr),16th percentile D (m2/kyr),median D (m2/kyr),84th percentile D (m2/kyr),maximum D (m2/kyr),
3.650000000000000000e+01,-2.536000000000000060e-02,2.899999999999999911e+00,2.544596185835722224e+00,2.682534623972930188e+00,2.872104125587262136e+00,3.065515744242045759e+00,3.344579647376976883e+00
6.150000000000000000e+01,-2.469999999999999973e-02,5.000000000000000000e+00,4.665549557923296398e+00,4.873503637473061367e+00,5.172811581963103755e+00,5.369685158947340220e+00,5.707305683050948097e+00
8.490000000000000568e+01,-3.334000000000000158e-02,5.099999999999999645e+00,4.413982160496508378e+00,4.778402724024610748e+00,4.993477634656811048e+00,5.213210647658658381e+00,5.638834469764080204e+00
9.250000000000000000e+01,-3.901999999999999913e-02,4.700000000000000178e+00,4.081977940854311981e+00,4.492649802631414779e+00,4.634115348504893817e+00,4.859037538772573939e+00,5.339463911273940155e+00
5.500000000000000000e+01,-3.171000000000000207e-02,3.500000000000000000e+00,2.977454812560603070e+00,3.195234206336690086e+00,3.391212626895037552e+00,3.551707331430457693e+00,3.833480896552954320e+00
1.010000000000000000e+02,-6.501999999999999447e-02,3.100000000000000089e+00,2.694177535169365978e+00,2.774285830301384870e+00,2.878801747305514080e+00,2.952504976270990511e+00,3.033421465645588011e+00
3.700000000000000000e+01,-2.149999999999999828e-02,3.399999999999999911e+00,2.869620262239789721e+00,3.075415629928213601e+00,3.369931773157505805e+00,3.742198147141523989e+00,4.322935235829481471e+00
7.800000000000000000e+01,-3.012000000000000094e-02,5.200000000000000178e+00,4.613431892645344590e+00,4.978124561035206064e+00,5.218405724911642452e+00,5.470579718277514658e+00,6.218790459399456516e+00
3.500000000000000000e+01,-1.038000000000000034e-02,6.700000000000000178e+00,5.231766865973770386e+00,6.523770612082484988e+00,7.607383365674710518e+00,9.948591526786289663e+00,2.245177427278060023e+01
9.215000000000000000e+02,-7.159000000000000086e-02,2.569999999999999929e+01,2.260020357636503974e+01,2.313879699012960245e+01,2.356615371048096108e+01,2.421253406271921449e+01,2.509734528776025186e+01
8.007999999999999545e+02,-1.259599999999999886e-01,1.269999999999999929e+01,9.133874632132904736e+00,9.380003153871561139e+00,9.555310874033317248e+00,9.714393239633636767e+00,9.947142971112665322e+00
1.768000000000000114e+02,-4.624000000000000332e-02,7.599999999999999645e+00,6.506103815583084149e+00,7.119597310921317757e+00,7.368760840353431263e+00,7.702521776577737178e+00,8.055563388521532531e+00
2.249000000000000057e+02,-4.524999999999999856e-02,9.900000000000000355e+00,8.819906548205077357e+00,9.180748790758386235e+00,9.608130007439648068e+00,9.889759194592450342e+00,1.061418391047850740e+01
1.435000000000000000e+02,-4.243000000000000244e-02,6.799999999999999822e+00,5.937807603071628471e+00,6.312095524566434079e+00,6.485091010084176766e+00,6.870167760775704124e+00,7.070610249132044167e+00
2.319999999999999929e+01,-1.378000000000000058e-02,3.399999999999999911e+00,2.736812218229762284e+00,3.056577376913903965e+00,3.270718910263730628e+00,3.703152420944227252e+00,5.925223608596837721e+00
5.700000000000000178e+00,-6.819999999999999674e-03,1.699999999999999956e+00,1.179882517831878586e+00,1.447280285995661275e+00,2.117911960564845320e+00,4.362225608702595459e+00,1.167628595472448069e+03
9.900000000000000355e+00,-1.710000000000000062e-02,1.199999999999999956e+00,9.654551272737922352e-01,1.034841553985631712e+00,1.174636425848365473e+00,1.323611507183737768e+00,1.570559151491011995e+00
1.259999999999999964e+01,-1.221999999999999996e-02,2.100000000000000089e+00,1.638370718910130641e+00,1.874966625389143271e+00,2.085443728945188813e+00,2.701052661396554200e+00,4.206869329689703285e+00
3.270000000000000284e+01,-2.027999999999999942e-02,3.200000000000000178e+00,2.915794646542839264e+00,3.114258837740488950e+00,3.303286745595392926e+00,3.505142965638678998e+00,4.044300312741014203e+00
3.479999999999999716e+01,-2.021999999999999839e-02,3.399999999999999911e+00,3.126750319518314836e+00,3.238398438066676377e+00,3.472177286077484659e+00,3.735833713537687117e+00,4.141268215122217100e+00
3.810000000000000142e+01,-1.977999999999999897e-02,3.899999999999999911e+00,3.118353004287805152e+00,3.522646830207845525e+00,3.775997591203300807e+00,4.092963537112015437e+00,4.819405746537364088e+00
5.289999999999999858e+01,-2.065000000000000169e-02,5.099999999999999645e+00,4.424462618304602302e+00,4.764772204826380531e+00,5.101166316277550017e+00,5.558068247533399564e+00,6.976366825446429054e+00
3.950000000000000000e+01,-1.970999999999999835e-02,4.000000000000000000e+00,3.470437074032898472e+00,3.771508469117804019e+00,4.016024811741682576e+00,4.398758979073271291e+00,5.555614273092372102e+00
8.540000000000000568e+01,-2.519000000000000059e-02,6.799999999999999822e+00,5.906950310944877991e+00,6.280331187232281565e+00,6.706961467762765139e+00,7.256137180804545395e+00,7.970263191462785279e+00
2.080000000000000071e+01,-1.420000000000000082e-02,2.899999999999999911e+00,2.359669281096619109e+00,2.743418031224017284e+00,2.956213050322813896e+00,3.285917428075117108e+00,3.564631430249420863e+00
2.060000000000000142e+01,-1.498000000000000026e-02,2.700000000000000178e+00,2.310250761837556510e+00,2.492003058172345131e+00,2.825664083808693494e+00,3.174309076814155972e+00,3.592669929459770817e+00
1.930000000000000071e+01,-1.349000000000000025e-02,2.899999999999999911e+00,2.447774959195793354e+00,2.718852603421848535e+00,3.050479433483124669e+00,3.431087096043476503e+00,3.839373293295710532e+00
